school6;	Bryn Athyn College
school7;	Adelphi University
school8;	Albany College of Pharmacy and Health Sciences
school9;	Albertus Magnus College
school10;	Albright College
school11;	Alfred University
school12;	Allegheny College
school13;	DeSales University
school14;	Alvernia University
school15;	American International College
school16;	Sacred Heart University
school17;	St. Joseph's College - Long Island Campus
school18;	Amherst College
school19;	Saint Anselm College
school20;	St. Bonaventure University
school21;	Anna Maria College
school22;	College of St. Elizabeth
school23;	Assumption College
school24;	St. Francis College
school25;	Saint Francis University
school26;	College of the Atlantic
school27;	St. John Fisher College
school29;	St. John's University
school30;	University of Saint Joseph
school31;	St. Joseph's College of Maine
school32;	Babson College
school33;	St. Joseph's College - Brooklyn Campus
school34;	Saint Joseph's University
school35;	Baptist Bible College and Seminary
school36;	St. Lawrence University
school37;	Saint Michael's College
school38;	Ramapo College of New Jersey
school39;	Saint Peter's University
school40;	College of St. Rose
school41;	St. Thomas Aquinas College
school42;	Saint Vincent College
school43;	Regis College
school44;	Salem State University
school45;	Salve Regina University
school46;	Sarah Lawrence College
school47;	University of Scranton
school48;	Seton Hall University
school49;	Rensselaer Polytechnic Institute
school50;	Pace University
school51;	Seton Hill University
school52;	Bard College at Simon's Rock
school53;	Shippensburg University of Pennsylvania
school54;	Rhode Island College
school55;	Siena College
school56;	Simmons College
school57;	Skidmore College
school58;	Parsons The New School for Design
school59;	Penn State University Park
school60;	Slippery Rock University of Pennsylvania
school61;	Smith College
school62;	Penn State Erie, The Behrend College
school63;	University of Massachusetts Dartmouth
school64;	Southern Connecticut State University
school65;	Penn State Harrisburg
school66;	University of Southern Maine
school67;	University of Pennsylvania
school68;	Southern Vermont College
school69;	Springfield College
school70;	Rhode Island School of Design
school71;	Stevens Institute of Technology
school72;	University of Rhode Island
school73;	Richard Stockton College of New Jersey
school74;	University of the Arts
school75;	Stonehill College
school76;	Cairn University
school77;	University of the Sciences
school78;	Suffolk University
school79;	Philadelphia University
school80;	University at Albany
school81;	Pine Manor College
school82;	Rider University
school83;	Binghamton University
school84;	University at Buffalo
school85;	University of Pittsburgh
school86;	Stony Brook University
school87;	College at Brockport
school88;	Rivier University
school89;	University of Pittsburgh at Bradford
school90;	Buffalo State College
school91;	University of Pittsburgh at Johnstown
school92;	State University of New York College at Cortland
school93;	Robert Morris University
school94;	State University of New York College of Environmental Science and Forestry
school95;	State University of New York at Fredonia
school96;	Plymouth State University
school97;	Roberts Wesleyan College
school98;	State University of New York College at Geneseo
school99;	Point Park University
school100;	State University of New York at New Paltz
school101;	College at Old Westbury
school103;	State University of New York College at Oneonta
school104;	Maine College of Art
school105;	State University of New York at Oswego
school106;	Post University
school107;	State University of New York Plattsburgh
school108;	Rochester Institute of Technology
school109;	Pratt Institute
school110;	State University of New York College at Potsdam
school111;	Princeton University
school112;	Purchase College
school113;	Providence College
school114;	State University of New York Institute of Technology
school115;	Quinnipiac University
school116;	Bard College
school117;	University of Rochester
school118;	State University of New York Maritime College
school119;	Barnard College
school120;	State University of New York Upstate Medical University
school121;	Maine Maritime Academy
school122;	University of Maine
school123;	Roger Williams University
school124;	Susquehanna University
school125;	Bates College
school126;	Arcadia University
school127;	Swarthmore College
school128;	Bennington College
school129;	University of Maine at Farmington
school130;	Syracuse University
school131;	University of Maine at Fort Kent
school132;	Bentley University
school133;	Thomas College
school134;	Berklee College of Music
school135;	Bloomfield College
school136;	Bloomsburg University of Pennsylvania
school137;	Temple University
school138;	Bowdoin College
school139;	University of Maine at Machias
school140;	Boricua College
school141;	University of Maine at Presque Isle
school142;	Thiel College
school143;	Boston Architectural College
school144;	Boston College
school145;	Thomas Jefferson University
school146;	Boston University
school147;	Touro College
school148;	The College of New Jersey
school149;	Manhattan College
school150;	Rosemont College
school151;	Trinity College
school152;	Manhattan School of Music
school153;	Manhattanville College
school155;	Tufts University
school156;	University of Bridgeport
school157;	Union College
school158;	Bridgewater State University
school159;	United States Coast Guard Academy
school160;	Mannes College The New School for Music
school161;	Mansfield University of Pennsylvania
school163;	Brown University
school164;	United States Merchant Marine Academy
school165;	United States Military Academy
school166;	Marist College
school168;	Unity College
school169;	Marlboro College
school172;	Ursinus College
school173;	Utica College
school174;	Marymount Manhattan College
school175;	Vassar College
school176;	Marywood University
school177;	Bryant University
school178;	Bryn Mawr College
school179;	Bucknell University
school180;	Cabrini College
school181;	California University of Pennsylvania
school182;	Massachusetts College of Art and Design
school183;	University of Vermont
school184;	Massachusetts College of Pharmacy and Health Sciences
school185;	Villanova University
school186;	Massachusetts Institute of Technology
school187;	Carlow University
school188;	School of Visual Arts
school189;	Wagner College
school190;	Washington & Jefferson College
school191;	Massachusetts Maritime Academy
school192;	Waynesburg University
school193;	University of Massachusetts Amherst
school194;	Webb Institute
school195;	Wellesley College
school197;	University of Massachusetts Boston
school198;	Medaille College
school199;	Wells College
school200;	Mercy College
school201;	Mercyhurst University
school202;	Wentworth Institute of Technology
school204;	Carnegie Mellon University
school205;	Wesleyan University
school206;	Merrimack College
school207;	West Chester University of Pennsylvania
school208;	Messiah College
school209;	Castleton State College
school211;	Western Connecticut State University
school212;	Western New England University
school213;	Middlebury College
school214;	Westfield State University
school215;	Millersville University of Pennsylvania
school216;	Cedar Crest College
school217;	Westminster College
school218;	Centenary College
school219;	Wheelock College
school220;	Central Connecticut State University
school221;	Wheaton College
school222;	Widener University
school223;	Chatham University
school224;	Wilkes University
school225;	Chestnut Hill College
school226;	William Paterson University
school227;	Cheyney University of Pennsylvania
school228;	Clarion University of Pennsylvania
school229;	Williams College
school230;	Wilson College
school231;	Clark University
school232;	Clarkson University
school233;	Colby College
